id,symbol,mint,mode,status,entrySol,entryPrice,entryAt,exitPrice,exitAt,exitReason,realizedPnlSol,amountTokens
paper-77dAJPkLEXeYMyekgo1fDqXGH29Nt2x5gzruTkHHpump-1781829691292,KUMORI,77dAJPkLEXeYMyekgo1fDqXGH29Nt2x5gzruTkHHpump,paper,closed,0.02376,2.7612249863321e-7,1781829691292,2.3960159620205e-8,1781829698679,hard_stop,-0.0217519533955123,0
paper-GdvX77jHPhRmYNMw3rjSbheUkJPEp5MamSC1CPn8pump-1781828806792,ERROR,GdvX77jHPhRmYNMw3rjSbheUkJPEp5MamSC1CPn8pump,paper,closed,0.02376,3.08671973695247e-7,1781828806792,2.55308213448212e-7,1781828894459,trailing_stop,-0.00461949184722258,0
paper-AHRLbSdsMYdW6wcwBas5SgUkVq5GKgtz1pkqfLjCpump-1781826271027,luck,AHRLbSdsMYdW6wcwBas5SgUkVq5GKgtz1pkqfLjCpump,paper,closed,0.02376,2.73844961920382e-7,1781826271027,2.89996393678907e-7,1781826365820,trailing_stop,0.00507882204301027,0
paper-9DE6jYP1uBrt8EwYj2ErTtCSNCLz2rvAzqkA7czxpump-1781820542553,TURBO,9DE6jYP1uBrt8EwYj2ErTtCSNCLz2rvAzqkA7czxpump,paper,closed,0.02376,2.80206856290608e-7,1781820542553,4.54206745484063e-7,1781820888542,trailing_stop,0.00991148268510396,0
paper-3MuboDr1XiSNVz4UuqQEV1eNyFpDxikK3g3eEdPLpump-1781725823514,NUT,3MuboDr1XiSNVz4UuqQEV1eNyFpDxikK3g3eEdPLpump,paper,closed,0.02376,1.8183142205804e-7,1781725823514,2.67584257873347e-7,1781726270132,trailing_stop,0.0135642644672589,0
paper-8P3z2LNkdVMANNGZxM4CiA2dSDbmRqcWcw97go6Cpump-1781711483342,TOWER,8P3z2LNkdVMANNGZxM4CiA2dSDbmRqcWcw97go6Cpump,paper,closed,0.02376,1.62742566231162e-7,1781711483342,1.51170476722372e-7,1781712213530,trailing_stop,-0.0022642947463494,0
paper-4gGGBL1F28FjhmDFmi3TDgYH7wn1o7Yn1WNceLL5pump-1781688110307,BINKO,4gGGBL1F28FjhmDFmi3TDgYH7wn1o7Yn1WNceLL5pump,paper,closed,0.02376,1.75295024732959e-7,1781688110307,4.22938395687969e-8,1781688165998,hard_stop,-0.0181766686891404,0
paper-2fHqck8fyk9NciRWvRHCnNqLjBbz3n1tjNEoSzhapump-1781669601142,X,2fHqck8fyk9NciRWvRHCnNqLjBbz3n1tjNEoSzhapump,paper,closed,0.02376,1.88359063482423e-7,1781669601142,1.13119057894512e-7,1781669640222,hard_stop,-0.00986254959781778,0
paper-rSRrNohFtSiEjhdcVcJTNbx6RMbczLt7EPaVQZtpump-1781665354220,X,rSRrNohFtSiEjhdcVcJTNbx6RMbczLt7EPaVQZtpump,paper,closed,0.02376,1.51304913211249e-7,1781665354220,1.04217085755983e-7,1781665498468,trailing_stop,-0.00782060732787195,0
paper-DaFBv5dXirm6Mp7cpYoqRUs5u8qA6Sk3ZxJzFSGXpump-1781665296227,WIFERROR,DaFBv5dXirm6Mp7cpYoqRUs5u8qA6Sk3ZxJzFSGXpump,paper,closed,0.02376,2.37019578595869e-7,1781665296227,2.29955196630127e-8,1781665388440,hard_stop,-0.0215148524776806,0
paper-BzcAzzqqAd6r2CmXiDJVc3KKvGSfkKEDxuEzaPbEpump-1781663151120,bob,BzcAzzqqAd6r2CmXiDJVc3KKvGSfkKEDxuEzaPbEpump,paper,closed,0.02376,1.85633533836801e-7,1781663151120,2.03215447174271e-8,1781663647792,hard_stop,-0.00255942448680082,0
paper-GwwXmFiyAVZVaT76aKDxUPfzZZ2PhTCF7GqUfPbkpump-1781652814822,FR,GwwXmFiyAVZVaT76aKDxUPfzZZ2PhTCF7GqUfPbkpump,paper,closed,0.02376,1.92147205609122e-7,1781652814822,1.30142349147764e-7,1781653033840,trailing_stop,-0.00808633917026762,0
paper-aH74xQD1VTEwA9ZZxBZSZPijfYdyiHgQebDbCWkpump-1781645749633,KAUFM,aH74xQD1VTEwA9ZZxBZSZPijfYdyiHgQebDbCWkpump,paper,closed,0.02376,2.2179379781669e-7,1781645749633,2.06163384332178e-7,1781646071547,trailing_stop,-0.00224962344090943,0
paper-CjUsokpKJ2js9eNm8fCbiktKVTqLKAx14AmPjdKbpump-1781642239316,MEMEOPOLY,CjUsokpKJ2js9eNm8fCbiktKVTqLKAx14AmPjdKbpump,paper,closed,0.02376,1.57125957606106e-7,1781642239316,1.18497638606537e-7,1781642684425,trailing_stop,-0.00630790235617298,0
paper-F6yUmmjU3y716dQsy2xV6YzSaPLrfTfgBzoF7Cnmpump-1781629116355,SOLT,F6yUmmjU3y716dQsy2xV6YzSaPLrfTfgBzoF7Cnmpump,paper,closed,0.02376,2.35374050102663e-7,1781629116355,2.87664680454972e-7,1781629671838,trailing_stop,0.00452224224565558,0
paper-FHx7FSJpJqJXFxQGZPaguNyRxywdiBFFsiwu3BZccHAY-1781627839338,CRAFTS,FHx7FSJpJqJXFxQGZPaguNyRxywdiBFFsiwu3BZccHAY,paper,closed,0.02376,2.61550446301829e-7,1781627839338,1.60637568642166e-7,1781628405473,hard_stop,-0.00954726912523688,0
paper-GFcYcybmCQwx1yj6dQ3i5CMBM1hJvCtjtpatDGijpump-1781620609776,ミニ,GFcYcybmCQwx1yj6dQ3i5CMBM1hJvCtjtpatDGijpump,paper,closed,0.02376,2.54323591395774e-7,1781620609776,2.30824560302481e-7,1781620716924,trailing_stop,-0.00275700422773865,0
paper-D8bmt1ZNv1sZyi9Y6rXcX1Wo5WcpqzEVVxGUv3okpump-1781597554294,Loria,D8bmt1ZNv1sZyi9Y6rXcX1Wo5WcpqzEVVxGUv3okpump,paper,closed,0.02376,1.56607450753078e-7,1781597554294,1.69886371636335e-7,1781597952098,trailing_stop,0.00134336822677305,0
paper-6jsM4aqkQSndHWGKe4cp14dRbMqQAvEgmHYW7ZRzpump-1781596699264,NPC,6jsM4aqkQSndHWGKe4cp14dRbMqQAvEgmHYW7ZRzpump,paper,closed,0.02376,2.20716677779415e-7,1781596699264,1.4950013378574e-7,1781596727574,trailing_stop,-0.00808555015430179,0
paper-D8tEtNsbygEd2c6KYzYaPGwECX1UY4mXnaJtZRDtpump-1781594867265,LOSTBOY,D8tEtNsbygEd2c6KYzYaPGwECX1UY4mXnaJtZRDtpump,paper,closed,0.02376,1.40634868574972e-7,1781594867265,4.19033467796246e-7,1781595929297,trailing_stop,0.03583586270541,0
paper-8pejFwukVn34rZzYarHD7qDV7pcXWviQzbwmnn1Ypump-1781584817817,GROW,8pejFwukVn34rZzYarHD7qDV7pcXWviQzbwmnn1Ypump,paper,closed,0.02376,1.76289864435705e-7,1781584817817,2.89546933165237e-7,1781585203066,trailing_stop,0.0152616824434053,0
paper-DTqKRdZppNhTXMuDUMW36aw1F5thvURs5vCePbz5pump-1781577546675,Money,DTqKRdZppNhTXMuDUMW36aw1F5thvURs5vCePbz5pump,paper,closed,0.02376,1.3036471555117e-7,1781577546675,5.57148328346197e-8,1781577848251,hard_stop,-0.0138699919242609,0
paper-3RqNpZZM7r2FGpksU1KHF3rYwPpK7GH62Bofgtrfpump-1781574077582,Whiteman,3RqNpZZM7r2FGpksU1KHF3rYwPpK7GH62Bofgtrfpump,paper,closed,0.02376,2.64129367315536e-7,1781574077582,1.78610634152897e-7,1781574238904,trailing_stop,-0.00811136369322642,0
paper-Cgbf2kCYpZL5EXjdj2QRvmjPbSgimmuDmzF3TjwY83je-1781572592867,Corgi,Cgbf2kCYpZL5EXjdj2QRvmjPbSgimmuDmzF3TjwY83je,paper,closed,0.02376,1.51222409391636e-7,1781572592867,2.15645433397708e-7,1781572706306,trailing_stop,0.0142888487003613,0
paper-4ZjEZEjt1P2JTbmv4HmQ8SpNFpcEXXSq8gk9GQSEpump-1781563711212,1080p,4ZjEZEjt1P2JTbmv4HmQ8SpNFpcEXXSq8gk9GQSEpump,paper,closed,0.02376,2.44603669242461e-7,1781563711212,1.26436447863907e-7,1781563905014,hard_stop,-0.011798236971793,0
paper-21ZmcujEBrfkSLcVLn9t9Vesu97ZeKkNPnQ6JcTopump-1781558027145,$BLOCK,21ZmcujEBrfkSLcVLn9t9Vesu97ZeKkNPnQ6JcTopump,paper,closed,0.02376,1.94369498614177e-7,1781558027145,1.6162945728125e-7,1781560727897,time_stop,-0.00451675646896969,0
paper-UAeXU2adRXYmakn4UbHNxSmKd9trzz9AchiqbK8pump-1781552670815,LatinoButt,UAeXU2adRXYmakn4UbHNxSmKd9trzz9AchiqbK8pump,paper,closed,0.02376,1.59622381670956e-7,1781552670815,1.81319513964691e-7,1781553571489,trailing_stop,0.00252673430778144,0
paper-9c7Dgnspy3c6C5mtoRYFKsYpJaG4npcoP5fRRJjiWiLL-1781542680539,will,9c7Dgnspy3c6C5mtoRYFKsYpJaG4npcoP5fRRJjiWiLL,paper,closed,0.02376,2.23993345555786e-7,1781542680539,1.49900831020538e-7,1781542745837,trailing_stop,-0.00827344569096343,0
paper-D664MthKpwDS4AS1fZs8RUYxcHndYX77uPVtsQUgyHad-1781535601146,solana,D664MthKpwDS4AS1fZs8RUYxcHndYX77uPVtsQUgyHad,paper,closed,0.02376,2.22785843924366e-7,1781535601146,2.13659145312769e-7,1781535683551,trailing_stop,-0.00156680798017669,0
paper-4bKZEJRQDnF9c8FPhbP8gryoq6gfervGryg3oBxBpump-1781535511235,TOLYBOT,4bKZEJRQDnF9c8FPhbP8gryoq6gfervGryg3oBxBpump,paper,closed,0.02376,2.85640553199546e-7,1781535511235,1.82705919899115e-7,1781535525524,trailing_stop,-0.00895806033768696,0
paper-84pxM65G3sRyCY7su8s9WCiCU3DiV9nHpbx9u3Wqpump-1781534535435,CLOUD,84pxM65G3sRyCY7su8s9WCiCU3DiV9nHpbx9u3Wqpump,paper,closed,0.02376,2.21450162401452e-7,1781534535435,3.23889304701517e-7,1781534893333,trailing_stop,0.0160834887905136,0
paper-6D8XQvpWcPiMeXdvjYbquy5ei331gWnM5fQjpqkopump-1781532781752,SHIBAO,6D8XQvpWcPiMeXdvjYbquy5ei331gWnM5fQjpqkopump,paper,closed,0.02376,2.51179276924033e-7,1781532781752,2.54269187793609e-7,1781533342793,trailing_stop,-0.000334125856930986,0
paper-2a35LaGkdVuxjM18Y7FHXbZg9BmeTEVTauSoyu1Vpump-1781527365126,GNECK,2a35LaGkdVuxjM18Y7FHXbZg9BmeTEVTauSoyu1Vpump,paper,closed,0.02376,1.33799813041658e-7,1781527365126,2.71784823606191e-8,1781527552852,hard_stop,-0.0190593753750034,0
paper-2qpQJKffQhEgVpHr99K6V1YHJ8sYNvgSFSa5Anrapump-1781516596414,SHIB,2qpQJKffQhEgVpHr99K6V1YHJ8sYNvgSFSa5Anrapump,paper,closed,0.02376,3.43958879272215e-7,1781516596414,2.4796960101271e-7,1781517038787,trailing_stop,-0.00707686001798511,0
paper-EHy75ASA9Q876xVzyKwi5PoBTcsehs8UTSAADD5Gpump-1781513477086,LONGDOG,EHy75ASA9Q876xVzyKwi5PoBTcsehs8UTSAADD5Gpump,paper,closed,0.02376,1.88064506703386e-7,1781513477086,1.07262970006055e-7,1781513657384,hard_stop,-0.0105613699925898,0
